codigo,titulo,motivo
JRH0,A Digitally Controlled Bi-Directional DC-DC Converter for Nanosatellite Power Systems,sin_coincidencia
JRH0,Development of a charger/discharger system for electrochemical cell screening and testing,sin_coincidencia
JRH0,Proposal for a Modular Electrical Power System for Nanosatellites,sin_coincidencia
JRH0,Jaguar Monitoring Store-and-Forward Satellite: JaguarSAT,sin_coincidencia
JRH0,Proposal for a Modular Electrical Power System For Nanosatellites,sin_coincidencia
JRH0,Testing and operations of a store and forward CubeSat for environmental monitoring of Costa Rica,sin_coincidencia
JRH0,Project Irazú: Advances of a store &amp; forward CubeSat mission for environmental monitoring in Costa Rica,sin_coincidencia
LCR0,Automation of ammonia cooling system with a smart relay,sin_coincidencia
COZ0,"Construction, Commissioning and first Results of the Costa Rican Stellarator SCR-",sin_coincidencia
COZ0,"Engineering, fabrication, tests and status of the Costa Rican SCR-1 stellarator",sin_coincidencia
COZ0,Progress on small modular stellarator SCR-1,sin_coincidencia
LMS0,Sistema experto para motores asistido por temperatura (SEMAT),sin_coincidencia
LMS0,Simulación de un sistema de manufactura flexible con redes de Petri coloreadas,sin_coincidencia
LMS0,Redes de Petri: Modelado e implementación de algoritmos para autómatas programables,sin_coincidencia
GGR0,MEDICIÓN DE IMPEDANCIA DE SECUENCIA CERO EN TRANSFORMADORES DE POTENCIA,sin_coincidencia
GRN0,Safety design of a hybrid wind-solar energy system for rural remote areas in Costa Rica,sin_coincidencia
GRN0,Three-dimensional interpolation on scalar fields,sin_coincidencia
GRN0,Aerodinámica de turbinas eólicas magnus de eje horizontal y su potencial uso en ambientes urbanos,sin_coincidencia
GRN0,Modelo de evaluación directa para predecir el rendimiento de turbinas eólicas de eje horizontal,sin_coincidencia
GRN0,Programa de mantenimiento preventivo para sistemas de generación de aire medicado y vaćıo grado médico. Especificaciones técnicas de un cartel de licitación para compra de sistema de generación de vaćıo grado médico,sin_coincidencia
JMJ0,INTEGRATING ONTOLOGIES AND CASE-BASED REASONING FOR THE DEVELOPMENT OF KNOWLEDGE-INTENSIVE INTELLIGENT SYSTEMS,sin_coincidencia
