codigo,codCurso,curso
JRH0,MI2205,Electricidad I
JRH0,MI2202,Laboratorio de Electricidad I 
JRH0,MI4210,Laboratorio de Control Eléctrico
LCR0,MI2101,Dibujo Técnico
LCR0,MI2106,Estática
LCR0,MI3101,Procesos de Manufactura
CVS0,MI2106,Estática
CVS0,MI2101,Dibujo Técnico
NUS0,MI2101,Dibujo Técnico
NUS0,MI3124,Dibujo Industrial
NUS0,MI3115,Resistencia de Materiales
NUS0,MI4136,Elementos de Máquinas
JGF0,MI2106,Estática
JGF0,MI2101,Dibujo Técnico
JGF0,MI2205,Electricidad I
JGF0,MI2202,Laboratorio de Electricidad I
JGF0,MI6255,Sistemas de Control Automático
JGF0,EL4419,Análisis y Control de Sistemas lineales
JGF0,IF3502,Instrumentación I
HJQ0,MI2101,Dibujo Técnico
HJQ0,MI3124,Dibujo Industrial
HJQ0,MI2106,Estática
HJQ0,MI4136,Elementos de Máquinas
COZ0,MI3103,Procesos de Manufactura
COZ0,MI2101,Dibujo Técnico
COZ0,MI3117,Dinámica
VJH0,MI3119,Laboratorio de Turbomáquinas
VJH0,MI3138,Máquinas y Equipos
VJH0,MI2101,Dibujo Técnico
VJH0,MI3124,Dibujo Industrial
VJH0,ID2301,Principios Estructurales
VJH0,MI3115,Resistencia de Materiales
